#timestep time dt l2_rho l2_rho_v1 l2_rho_v2 l2_rho_e_total linf_rho linf_rho_v1 linf_rho_v2 linf_rho_e_total cons_rho cons_rho_v1 cons_rho_v2 cons_rho_e_total dsdu_ut 
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -5.999948179475847e-6
10 0.3600745961369603 0.06193648437851433 0.0004483310599790867 0.0021325892828477633 0.0021325892828477624 0.014846899718665802 0.004679240111759908 0.010223874368262331 0.010223874368259 0.04732748311752388 3.9968028886505635e-15 1.1324274851176597e-14 7.105427357601002e-15 8.881784197001252e-15 0.0005473048448980439
20 1.1560995037257171 0.08801970619990615 0.0011735308136210083 0.0013126807140153391 0.0013126807140153897 0.008205564173008325 0.010556621227328478 0.005775700508364068 0.00577570050836318 0.015607074102116592 9.325873406851315e-15 8.881784197001252e-15 1.0436096431476471e-14 2.3092638912203256e-14 0.00042528999229593837
30 2.0656522558251167 0.09224028660952102 0.0009780470405503412 0.0008933539981900593 0.0008933539981900862 0.005226909105299408 0.009516396692903495 0.005825811958507066 0.005825811958507954 0.033385076949821624 9.992007221626409e-15 1.1546319456101628e-14 1.1102230246251565e-14 4.263256414560601e-14 0.00022594971389381247
40 2.991364654527606 0.09263412554780445 0.0010486137956012898 0.0008632966612670206 0.0008632966612670196 0.0044771724415590556 0.009175239774291244 0.007955272451288797 0.007955272451293238 0.04961457717642448 1.9539925233402755e-14 1.7985612998927536e-14 1.687538997430238e-14 3.730349362740526e-14 -5.391204215618934e-5
50 3.9194322381470172 0.09283476595560425 0.001169046201395888 0.0010804442589041176 0.0010804442589039667 0.006076032207807569 0.009873184279403091 0.012946015744125017 0.012946015744126349 0.05878943359863342 2.55351295663786e-14 2.4424906541753444e-14 2.0650148258027912e-14 3.197442310920451e-14 -0.0002993465103151613
60 4.847845810561871 0.09275236308085733 0.0012818644986610209 0.0013589007568445208 0.001358900756844344 0.0085792400783176 0.0067445014181575225 0.01487168085618773 0.014871680856186842 0.05498866629675314 2.55351295663786e-14 2.5979218776228663e-14 2.531308496145357e-14 5.3290705182007514e-14 -0.0004689549976701936
70 5.776012632663412 0.09289604423568072 0.0014228488010743382 0.001680190596562934 0.0016801905965628057 0.011169864131911664 0.008696286666875608 0.015303695295475261 0.015303695295473485 0.04727012635451988 2.375877272697835e-14 3.042011087472929e-14 2.9976021664879227e-14 5.773159728050814e-14 -0.0005694699375292699
80 6.704592517348754 0.09284589894773364 0.0014831461987343244 0.0019797980433362023 0.0019797980433360037 0.013337271968261587 0.00767737576625338 0.011788678935603869 0.011788678935605423 0.0425932081813154 3.441691376337985e-14 3.4861002973229915e-14 3.552713678800501e-14 8.08242361927114e-14 -0.000499013820124898
90 7.632586556396985 0.09284461091243666 0.0016374142137378707 0.0022269367164230534 0.002226936716422886 0.014885902928455617 0.008170390458882348 0.008253953451458074 0.008253953451455853 0.045066920076480166 3.907985046680551e-14 3.9745984281580604e-14 3.597122599785507e-14 6.217248937900877e-14 -0.0003850071027714959
100 8.561280812755115 0.09279151668513012 0.0016431694963683948 0.002329804739493209 0.002329804739493026 0.01564077315354362 0.008817438454482573 0.007958826661717211 0.007958826661718543 0.04570046228984026 4.085620730620576e-14 3.9745984281580604e-14 4.463096558993129e-14 7.460698725481052e-14 -0.00011924110407212659
110 9.489324226464547 0.09275763013627873 0.001876515545525131 0.002395366052039521 0.0023953660520393476 0.015628902137070702 0.011638566266052308 0.007604688657652403 0.007604688657660397 0.04225585646904051 4.596323321948148e-14 4.374278717023117e-14 4.3298697960381105e-14 8.526512829121202e-14 4.607048602181956e-5
116 10.0 0.04630689897884466 0.0018340245387623152 0.0012528647083575413 0.0012528647083575326 0.005282678795759868 0.01269987161311592 0.010246785941518954 0.010246785941517178 0.06174273547252618 4.75175454539567e-14 4.884981308350689e-14 5.0182080713057076e-14 9.947598300641403e-14 -5.490947181709624e-5
