#timestep time dt l2_rho l2_rho_v1 l2_rho_v2 l2_rho_e_total linf_rho linf_rho_v1 linf_rho_v2 linf_rho_e_total cons_rho cons_rho_v1 cons_rho_v2 cons_rho_e_total dsdu_ut 
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.2640111735615946e-15
10 0.3977533923415953 0.050755174253212576 2.27753286772731e-5 4.012036800187425e-5 4.0120368001917766e-5 0.0001395934719690856 0.00017793845341751435 0.0002564471749488817 0.00025644673620806024 0.0007483280403528525 2.1316282072803006e-14 2.220446049250313e-14 1.9095836023552692e-14 3.019806626980426e-14 4.0512872495728334e-7
20 0.7905081262091428 0.03953960314645258 3.419495085803935e-5 5.3603000246899345e-5 5.360300024695559e-5 0.00015478466858525738 0.00017344198528945753 0.00022052796663629692 0.00022052796659144391 0.0006641365138686517 1.176836406102666e-14 1.176836406102666e-14 1.865174681370263e-14 7.105427357601002e-15 -3.4798065569084824e-7
30 1.189025322743148 0.039935044618538904 7.029248505052765e-5 7.051778613506132e-5 7.051778613512606e-5 0.00014236711434753422 0.0004363191549674461 0.00025666070482066594 0.0002566607038836377 0.0006272186011653247 1.4654943925052066e-14 9.325873406851315e-15 1.4876988529977098e-14 4.440892098500626e-15 2.9173205882167207e-7
40 1.5882656719722568 0.039913283638627256 0.00012332657725814752 0.00010029528387256883 0.00010029528387262862 0.00016265196998346024 0.0006650433187784799 0.0004597741959120327 0.0004597741965270963 0.0009372782520964407 4.218847493575595e-15 1.7763568394002505e-15 7.105427357601002e-15 1.7763568394002505e-15 -3.1302248397906393e-7
50 1.987321232029853 0.03985677451376706 0.00016225856357877415 0.00012308366099810717 0.0001230836609981845 0.00018152563870520963 0.000925386407148121 0.0006134058377313956 0.0006134058395099729 0.0011612180088498292 1.9984014443252818e-15 6.661338147750939e-16 8.881784197001252e-15 8.881784197001252e-16 4.295262467880917e-8
60 2.386452639469413 0.039926313930156325 0.00017052030504660865 0.0001246015387374494 0.00012460153873748638 0.0001584745001666874 0.0009395468254576045 0.0005927301754651282 0.0005927301755010994 0.0010836770893041248 6.661338147750939e-16 1.0658141036401503e-14 6.439293542825908e-15 3.019806626980426e-14 3.2630723839984524e-7
70 2.7857242082679736 0.03997836442173047 0.00015757241309575365 0.00011439423874549401 0.00011439423874545188 0.0001341686572966989 0.000933080625272531 0.00049908107772767 0.0004990810789000655 0.0006799169672078165 1.4654943925052066e-14 3.3306690738754696e-15 9.103828801926284e-15 4.440892098500626e-15 -2.90441493405541e-7
80 3.1849148610472096 0.03990974077132107 0.00015532852542897877 0.00011611665323422916 0.00011611665323415714 0.00014782440379952587 0.0009461861720065912 0.0005343138802169634 0.0005343138800983915 0.0005376780700259154 9.547918011776346e-15 5.551115123125783e-15 1.2212453270876722e-14 5.1514348342607263e-14 3.3492652019357543e-7
90 3.5839655670370307 0.039856919007313654 0.00017960550755467003 0.00013462048666373617 0.00013462048666363976 0.00015058946050734254 0.0010035098992542402 0.0005572963191733393 0.0005572963190951796 0.0005954528967788697 3.3306690738754696e-15 5.995204332975845e-15 1.4876988529977098e-14 2.398081733190338e-14 -3.9681900405929174e-7
