#timestep time dt l2_scalar linf_scalar cons_scalar dsdu_ut 
0 0.0 1.0 2.735651062026398e-17 3.3306690738754696e-16 0.0 -2.3695976862444495e-16
10 0.32290937371327777 0.028751232569110413 0.00014306271496919432 0.0005455555509424892 4.996003610813204e-16 -1.3936117822851285e-7
20 0.6008379438774694 0.02739341780358515 0.00014972795039970295 0.0005945674287317626 1.0547118733938987e-15 -1.7100870654609968e-7
30 0.8734076920154364 0.02720773247257015 0.0001542503246272488 0.0006180775490693957 1.7208456881689926e-15 -1.7904360053924794e-7
40 1.1452231708584226 0.027176336002670352 0.00014602570824972448 0.000574139130986806 2.1094237467877974e-15 -1.5721676426995976e-7
50 1.4169262842621149 0.027163277101018776 0.0001485452106919123 0.00046574460219794833 2.55351295663786e-15 -1.4057984950091584e-7
60 1.6886169555077764 0.027161533485211643 0.00015698163975676535 0.0005855005481889552 3.3306690738754696e-15 -1.2852131661125407e-7
70 1.9603143521603108 0.027168268923102167 0.00016948598120401608 0.000720282935092631 3.7192471324942744e-15 -1.5263526440912871e-7
80 2.232019432506827 0.027176878562844328 0.00018213294264823537 0.0007734300919194359 4.274358644806853e-15 -1.7457168093989377e-7
90 2.5037281498557356 0.027178517101563895 0.00018394666743069374 0.0007271621820881258 4.9404924595819466e-15 -1.81716930974362e-7
100 2.7754314741305257 0.027171342110057197 0.00018753963709697966 0.0005775033751723169 5.6066262743570405e-15 -1.5973391247553416e-7
110 3.047131904439161 0.027163074370277044 0.0001892688780240592 0.0005945705085574904 5.828670879282072e-15 -1.3242446019475174e-7
120 3.3188349023866266 0.027163271634631298 0.0002034755232371833 0.0007526367314044657 6.5503158452884236e-15 -1.308215316882591e-7
130 3.5905474288641637 0.027171492313181042 0.00021743035204254012 0.0008479006679068535 7.105427357601002e-15 -1.5453681891444693e-7
140 3.862268192317208 0.027179357331865772 0.0002292585940080948 0.0009268998754698998 7.494005416219807e-15 -1.809634388335742e-7
150 4.133988872096471 0.02717918026726654 0.00023498728140166532 0.0008271863271850366 8.1601392309949e-15 -1.8028633831253693e-7
160 4.405705212084261 0.027170664230192612 0.0002367299165004595 0.000677153612862913 8.770761894538737e-15 -1.520355591335537e-7
170 4.677417427295342 0.027163577576080157 0.00024634857039347477 0.0007473486434579346 9.103828801926284e-15 -1.3031179174919846e-7
180 4.949135532970929 0.027165841265424734 0.00025762905759813855 0.0008959729188183774 9.658940314238862e-15 -1.3294085801748656e-7
190 5.220862122295552 0.02717451177834714 0.00027525059210492547 0.0010621399220788197 1.0269562977782698e-14 -1.6250865522544574e-7
200 5.4925961400400585 0.027181538310939182 0.00028280824299991517 0.0010483889889207898 1.0658141036401503e-14 -1.8139220658180445e-7
210 5.764329191471715 0.027179035030295007 0.0002905414656170591 0.0008886466185868969 1.1546319456101628e-14 -1.7418599865628472e-7
220 6.036055526994969 0.027169781209312013 0.0002937128124690338 0.0007944094288725445 1.199040866595169e-14 -1.4620557093689577e-7
230 6.307781541943012 0.02716452937762395 0.00030674577649091885 0.0009391003747954985 1.2490009027033011e-14 -1.2862451479822914e-7
240 6.579512270704104 0.02716852778723285 0.0003200930626792604 0.0010745811829373508 1.3100631690576847e-14 -1.398007205850177e-7
250 6.85125367439838 0.0271778106306601 0.0003346109400328232 0.0012302880643848546 1.3711254354120683e-14 -1.666382623135753e-7
260 7.122999218527218 0.02718290010304471 0.0003430515867702645 0.0012068405681883165 1.4099832412739488e-14 -1.8177724098121368e-7
270 7.394742964585902 0.0271786375550723 0.00034909855804415255 0.0009569657456668379 1.4710455076283324e-14 -1.6856849426732934e-7
280 7.666480411767816 0.027168773961717883 0.00035744267232640757 0.0010008180667183675 1.5154544286133387e-14 -1.4046730080138903e-7
290 7.938217966039838 0.027165871107112258 0.0003686723182435821 0.0011233555777577786 1.6153745008296028e-14 -1.2953207848469813e-7
300 8.209963411405992 0.027171509480705704 0.0003842828952502574 0.0012741287667796808 1.6486811915683575e-14 -1.4444327798566515e-7
310 8.481716750464262 0.027180719015699743 0.00039514443280560033 0.001370172864037733 1.6986412276764895e-14 -1.7344054377334966e-7
320 8.753474721621112 0.027183996287976422 0.00040492076924162967 0.0012523798842647427 1.759703494030873e-14 -1.8085649859347257e-7
330 9.025227336259691 0.027177580020787292 0.00041043138134756144 0.0011081947340428888 1.8096635301390052e-14 -1.627104980093612e-7
340 9.296975832038466 0.02716870001744484 0.0004213945659058625 0.0011247519791499627 1.8762769116165146e-14 -1.3455893040060195e-7
350 9.568725502000682 0.02716742044727671 0.00043361320912472964 0.0013064769171465818 1.915134717478395e-14 -1.305993182054016e-7
360 9.840483543188984 0.02717473449344635 0.0004481403036466957 0.001461915504763267 1.9817480989559044e-14 -1.5242174682348577e-7
370 10.112250345338836 0.02718325352165194 0.0004591114836074266 0.0015265952513081604 2.0483614804334138e-14 -1.7823887295694841e-7
380 10.38401767486737 0.027184400690854305 0.0004670331809063183 0.0012936132306637926 2.0816681711721685e-14 -1.7789606787319e-7
390 10.655780714886843 0.02717647261539814 0.0004755057323998147 0.001314766906211129 2.142730437526552e-14 -1.540079604209904e-7
400 10.927538623276208 0.027168684418008817 0.0004853343142547082 0.001310456707520391 2.1760371282653068e-14 -1.3011560945579161e-7
410 11.199301056375617 0.027169688502070855 0.000499979341170196 0.0015084266265631419 2.248201624865942e-14 -1.3575140634336063e-7
420 11.4710713841075 0.027177785215525777 0.0005118398695553428 0.0016454960886395087 2.298161660974074e-14 -1.5958093781652527e-7
430 11.74284956691191 0.027185518548827163 0.0005232698679650373 0.001627932011610267 2.353672812205332e-14 -1.8112482630654875e-7
440 12.014627312199622 0.027184139622678634 0.0005301260993788784 0.001338609785054623 2.4202861936828413e-14 -1.7054364065136324e-7
450 12.286398279557227 0.02717518472336065 0.0005403394648045167 0.0014812744775832831 2.4868995751603507e-14 -1.4679148157160232e-7
460 12.558167816274706 0.027169155066031684 0.0005514789575136005 0.001522873534171798 2.5646151868841116e-14 -1.2901216321636877e-7
470 12.829941056274553 0.027172118849497946 0.0005654241108598391 0.001708801394914028 2.5923707624997405e-14 -1.4126071474367738e-7
480 13.101724561594535 0.027181106298846465 0.0005775063734758624 0.0018330042671217406 2.6756374893466273e-14 -1.6784691547909437e-7
490 13.373512629722429 0.027186997033760308 0.0005869043585441933 0.0017186496501149229 2.7200464103316335e-14 -1.800688495534608e-7
500 13.645299428403039 0.027183599804893592 0.0005959526965751156 0.001538978019070436 2.7533531010703882e-14 -1.6749274989874552e-7
510 13.917079374537453 0.02717382003808817 0.0006051834742552303 0.001601737628829425 2.808864252301646e-14 -1.393515239633762e-7
520 14.18885874966125 0.027170100121417556 0.0006184575843630225 0.0017257420458804962 2.8754776337791554e-14 -1.3141303107122072e-7
530 14.460644784792136 0.0271748476781683 0.0006303715142310923 0.0018472578673564 2.936539900133539e-14 -1.451790675593978e-7
540 14.732438926943804 0.0271841043379143 0.0006427695532804325 0.00198797662866268 2.9753977059954195e-14 -1.729861444010536e-7
550 15.004237894083953 0.027188105183895982 0.0006511018153126761 0.0018118412960810293 3.036459972349803e-14 -1.7772819302616395e-7
560 15.276031759080663 0.027182391684337583 0.0006613933642379551 0.0017422774937202457 3.1030733538273125e-14 -1.607496425213694e-7
570 15.54782115709244 0.02717334288908374 0.0006714418179018788 0.0017284830141134355 3.147482274812319e-14 -1.3497696568082196e-7
580 15.819610514983626 0.02717131098749464 0.0006844842080013972 0.0019304005392228873 3.2307490016592055e-14 -1.316290670742249e-7
590 16.09140798418032 0.027177983836809142 0.0006966568950723568 0.0020789939816797665 3.269606807521086e-14 -1.5320671137463567e-7
600 16.363213675164296 0.02718666383878731 0.000707688211655887 0.002114537167007491 3.3306690738754696e-14 -1.762835570755586e-7
