#timestep time dt l2_rho l2_rho_v1 l2_rho_v2 l2_rho_e_total linf_rho linf_rho_v1 linf_rho_v2 linf_rho_e_total cons_rho cons_rho_v1 cons_rho_v2 cons_rho_e_total dsdu_ut 
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -2.966734168307608e-15
10 0.336118267270976 0.03239720069479863 3.2122301878735763e-6 5.690817916431468e-6 5.690817953767255e-6 1.9236339008908548e-5 6.586756952198236e-5 0.0001018004946640172 0.00010181571298484293 0.00023852241695099252 1.176836406102666e-14 9.325873406851315e-15 1.2878587085651816e-14 3.6415315207705135e-14 1.653333621298e-7
20 0.6412055020575518 0.030599169137126545 3.5725095309757664e-6 7.142315720503639e-6 7.142315749711891e-6 2.1693377098363787e-5 5.5155644401061465e-5 8.472341318865872e-5 8.472783761503955e-5 0.00017559545140777288 6.661338147750939e-16 9.325873406851315e-15 8.881784197001252e-16 2.930988785010413e-14 -1.6704347137606408e-7
30 0.945562331446058 0.030045884336224925 5.896255557489547e-6 8.544756514957373e-6 8.544756530841218e-6 2.0898517837613727e-5 3.9862183145444874e-5 5.813023487410973e-5 5.8137056856200076e-5 0.00010714165322722735 2.886579864025407e-15 1.1324274851176597e-14 6.8833827526759706e-15 3.019806626980426e-14 2.195717193603549e-9
40 1.2496370409507487 0.030723174016988722 1.1217358730119455e-5 1.112069807328545e-5 1.1120698079526275e-5 2.0186310320765466e-5 7.302561393274232e-5 8.421446450967984e-5 8.42155878688633e-5 0.00020121532255101826 3.9968028886505635e-15 1.2878587085651816e-14 4.884981308350689e-15 6.838973831690964e-14 1.2494767387423276e-7
50 1.551510325889661 0.030040230468882288 1.7561066923023164e-5 1.4812370550696821e-5 1.4812370551032365e-5 2.3633784299122716e-5 0.0001007329626792064 9.141378187571547e-5 9.14135970799812e-5 0.00023928998049527195 1.4876988529977098e-14 2.220446049250313e-16 1.3766765505351941e-14 7.194245199571014e-14 -1.7022377002205855e-7
60 1.8525473262773868 0.030222911619886283 2.2526291238240543e-5 1.7808787878733175e-5 1.7808787878572906e-5 2.6942873110566093e-5 0.00013074575245397568 9.119486014963485e-5 9.119439810900687e-5 0.00022040579878268574 1.3988810110276972e-14 9.325873406851315e-15 1.3988810110276972e-14 8.704148513061227e-14 -5.13010595697931e-8
70 2.1523411252891753 0.030178772567592174 2.4862837367737172e-5 1.893889459367719e-5 1.893889459343131e-5 2.6127407800297432e-5 0.00014902924574355936 9.840356173551612e-5 9.840347277778605e-5 0.00019884786516666253 1.4876988529977098e-14 1.9539925233402755e-14 1.6209256159527285e-14 8.348877145181177e-14 2.151040983528283e-7
80 2.4517039888641663 0.03018377179298873 2.4657502015218076e-5 1.8383978332257295e-5 1.838397833195402e-5 2.2065009256927557e-5 0.00015432965206985116 9.019036477209141e-5 9.019036895763222e-5 0.00019571120217687366 2.19824158875781e-14 1.9984014443252818e-14 1.9317880628477724e-14 1.092459456231154e-13 -2.868355576600217e-8
90 2.7510064282329942 0.030152611005625135 2.3148295749260073e-5 1.7239631712420376e-5 1.723963171207158e-5 1.923380966665551e-5 0.00014716283711324607 8.008759321453951e-5 8.008758982080977e-5 0.00018022408179518834 2.708944180085382e-14 1.5765166949677223e-14 1.84297022087776e-14 1.1368683772161603e-13 -1.3260820246428513e-7
100 3.0503235916375235 0.030110279631870206 2.232529195320814e-5 1.6933903683556234e-5 1.6933903683304415e-5 2.0543970014951917e-5 0.00013219929136631947 8.597336770810315e-5 8.597323773074095e-5 0.00016348226184259573 2.531308496145357e-14 1.9539925233402755e-14 2.90878432451791e-14 9.237055564881302e-14 1.3072825780423087e-7
110 3.3496573299775143 0.030063577518437277 2.3497517658537643e-5 1.803683717121011e-5 1.803683717113983e-5 2.2232605293596027e-5 0.0001427468325823078 8.766736312626477e-5 8.766737055720952e-5 0.00018836982000269842 3.68594044175552e-14 3.108624468950438e-14 3.930189507173054e-14 1.1191048088221578e-13 -9.485426534563703e-9
120 3.6490068055286833 0.03001376205618743 2.6480298797153216e-5 2.0116939473395764e-5 2.0116939473377787e-5 2.1712532260703497e-5 0.0001665439305744698 8.898526837741727e-5 8.898526077549818e-5 0.00020191918916268037 2.9531932455029164e-14 3.7969627442180354e-14 3.774758283725532e-14 1.199040866595169e-13 -2.0322845941458898e-7
130 3.948372760630552 0.02996186380753538 3.0461294391117232e-5 2.2693840214024706e-5 2.2693840213896316e-5 2.036743461471897e-5 0.00017613997012055904 9.994095527510183e-5 9.99404168284812e-5 0.0001779294309858237 3.952393967665557e-14 3.952393967665557e-14 4.1522341120980855e-14 1.3855583347321954e-13 1.2369482557417055e-7
