#timestep time dt l2_scalar linf_scalar cons_scalar dsdu_ut 
0 0.0 1.0 4.554695357457205e-18 8.326672684688674e-17 0.0 1.4396777441893083e-16
10 0.2893391770765826 0.027632131488117564 2.6010634428805067e-5 0.00010650067657314022 3.3306690738754696e-16 -4.96487208116736e-10
20 0.5628639862002328 0.027224059680107018 3.2738849159941253e-5 0.0001054618933745699 7.216449660063518e-16 -6.019801306739181e-10
30 0.8347959457611657 0.02717434697555235 4.2419843084204475e-5 0.00013454083448460885 8.326672684688674e-16 -6.37738882072091e-10
40 1.1065087363347896 0.02717531700730496 5.266452626716803e-5 0.00015334683468415378 1.4988010832439613e-15 -6.444713184835976e-10
50 1.378193415794841 0.02717614799071827 6.349669534031619e-5 0.00017693634781057455 1.7208456881689926e-15 -5.441602481115471e-10
60 1.6498678241290055 0.02716864220822832 7.389102520820664e-5 0.00022518904965096453 2.1649348980190553e-15 -4.1726611922643375e-10
70 1.9215377172193764 0.027160047193334497 8.426041408170795e-5 0.00026056012036712595 2.3314683517128287e-15 -4.653624696184131e-10
80 2.1932093176369536 0.027159736331048512 9.477032445966033e-5 0.0002486338816651834 2.9976021664879227e-15 -5.79143272916435e-10
90 2.4648891822399404 0.02716767114506109 0.00010564553101185879 0.00028527434971858945 3.3861802251067274e-15 -6.790195159617207e-10
100 2.736577605488832 0.02717618765198559 0.00011669431632843597 0.0003172420602354231 3.7192471324942744e-15 -6.285165172602997e-10
110 3.0082650366678862 0.027176524207298557 0.0001276964916729583 0.0003210653192590174 4.163336342344337e-15 -4.911550593869211e-10
120 3.2799470668650366 0.027167529749379946 0.00013849151515928123 0.0003715186470863996 4.551914400963142e-15 -4.1519447992535707e-10
130 3.551623525260525 0.027159508025141523 0.00014918725294163645 0.0004148812773420163 4.773959005888173e-15 -4.809441195990916e-10
140 3.8233048580012348 0.02716169701118084 0.00015997619685391394 0.00040329523695992187 5.2735593669694936e-15 -6.133624614512907e-10
150 4.094994397733016 0.027170512383684238 0.00017095333488845372 0.0004430817501772655 5.440092820663267e-15 -6.746009159069988e-10
160 4.366690339263278 0.02717793430445517 0.0001820363929004439 0.00047613492551779046 5.88418203051333e-15 -5.978911532533715e-10
170 4.6383853247442675 0.027175817678981376 0.0001930450118418293 0.0004814184144611433 6.217248937900877e-15 -4.6472568935446157e-10
180 4.910071717357696 0.02716605105607028 0.00020391280609332387 0.0005308938379455785 6.938893903907228e-15 -4.1962426648520664e-10
190 5.1817565631323665 0.027159943652285364 0.0002147029739135849 0.0005638147786738434 7.271960811294775e-15 -5.08893702737712e-10
200 5.453445169299162 0.027163605109782912 0.0002255709078103637 0.0005498782692101578 7.66053886991358e-15 -6.35679267904643e-10
