#timestep time dt l2_rho l2_rho_v1 l2_rho_v2 l2_rho_e_total linf_rho linf_rho_v1 linf_rho_v2 linf_rho_e_total cons_rho cons_rho_v1 cons_rho_v2 cons_rho_e_total dsdu_ut 
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -1.3652060303634764e-14
10 0.4294024830710661 0.06805983291954734 1.0177574066473683e-5 1.1197275536979048e-5 1.1197275537328032e-5 3.0109682315994906e-5 5.408634230930076e-5 5.959101080321716e-5 5.95910105196662e-5 0.00017043556949492 1.7763568394002505e-15 3.1086244689504383e-15 7.771561172376096e-15 2.6645352591003757e-15 7.631727021389185e-7
20 0.9203130039317852 0.048353776365833635 2.9709907990960725e-5 4.3646964782072844e-5 4.3646959208290056e-5 0.00010171625394104701 0.00014955919136117046 0.0002321363399988563 0.000232140402671277 0.0005392800958095023 8.215650382226158e-15 6.661338147750939e-15 9.769962616701378e-15 7.105427357601002e-15 -8.57207126236942e-7
30 1.3373492199298356 0.03815507857563006 1.3991934905599541e-5 1.1727680412694979e-5 1.1727680416147117e-5 2.9782922711297618e-5 6.242009789181324e-5 4.807647021287664e-5 4.80764702928127e-5 0.0001563031044371499 9.992007221626409e-15 7.993605777301127e-15 1.0436096431476471e-14 1.3322676295501878e-14 6.576578560501377e-7
40 1.7817021275419391 0.053156613933468135 1.6664042697040556e-5 1.3398413126741202e-5 1.3398413247668357e-5 3.2644282743815e-5 5.8163305337810556e-5 5.354432446491586e-5 5.3544324354781736e-5 0.00019265049399841416 1.3988810110276972e-14 1.0658141036401503e-14 1.6653345369377348e-14 2.6645352591003757e-14 -9.631458040973172e-7
50 2.21997993182944 0.04064501999236131 1.9274891362475826e-5 1.7694364402485092e-5 1.7694365822780096e-5 4.1238910290428295e-5 7.233760091240882e-5 6.28661311976586e-5 6.28686594996708e-5 0.0001413258656555172 1.5765166949677223e-14 1.7763568394002505e-14 1.7985612998927536e-14 2.3092638912203256e-14 8.23253882042873e-7
60 2.6524043531184063 0.03741553178317575 1.790469608788012e-5 1.2721964360691726e-5 1.272196435582792e-5 2.9634287953070227e-5 0.00010643404744747897 8.205953551443379e-5 8.205953576112535e-5 0.00018766778701717612 1.9539925233402755e-14 1.887379141862766e-14 1.509903313490213e-14 3.730349362740526e-14 -1.8330514122956067e-7
70 3.1078843789748314 0.05127770080688184 1.804231225098548e-5 1.3053414625974515e-5 1.305341462742342e-5 3.0388865733798182e-5 9.836102952509584e-5 7.039997820212918e-5 7.039997826763233e-5 0.00014613821335718313 1.9761969838327786e-14 2.4202861936828413e-14 2.398081733190338e-14 4.973799150320701e-14 5.679794265140262e-8
80 3.554893045611057 0.042144192190766115 2.061151247511748e-5 1.9530263513842756e-5 1.953026362268234e-5 4.479053086955993e-5 8.853277057307984e-5 7.35957509367946e-5 7.359580639754171e-5 0.00023751922967019112 2.6867397195928788e-14 2.2426505097428162e-14 2.708944180085382e-14 4.263256414560601e-14 -1.8145752743391895e-7
90 3.985516721684937 0.04793281669320995 1.868900982562035e-5 1.3710177396374277e-5 1.3710177394580963e-5 2.9909051491544574e-5 6.706403985390352e-5 6.013089634038238e-5 6.0130896937238276e-5 0.00011910655905822409 2.9753977059954195e-14 3.375077994860476e-14 3.019806626980426e-14 6.572520305780927e-14 -3.370268807127253e-7
