#timestep time dt l2_rho l2_rho_v1 l2_rho_v2 l2_rho_e_total linf_rho linf_rho_v1 linf_rho_v2 linf_rho_e_total cons_rho cons_rho_v1 cons_rho_v2 cons_rho_e_total dsdu_ut 
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -9.365761882403414e-15
10 0.43875740670926305 0.0691850302284988 2.9047219579044828e-6 3.1231186168995553e-6 3.123118627586069e-6 6.3036022612705175e-6 1.0525870652866587e-5 9.931191826906272e-6 9.931027772358547e-6 2.2096438005991814e-5 2.6645352591003757e-15 4.440892098500626e-15 5.995204332975845e-15 0.0 8.10291706891267e-7
20 0.9214969999688584 0.04415870298481743 2.405344539384632e-5 3.6728290301495047e-5 3.672834725501857e-5 8.496139895669212e-5 0.00011052279240475471 0.0001671121843105361 0.0001671233053395227 0.00038526982750752836 8.881784197001252e-16 3.1086244689504383e-15 2.220446049250313e-15 1.509903313490213e-14 -9.75264812333042e-7
30 1.3358118332824298 0.03881169006696816 4.936404461305799e-6 4.349610830106499e-6 4.349610825184889e-6 8.159474117468041e-6 2.15025474767927e-5 1.991280591306932e-5 1.991284929081516e-5 3.4865625401891975e-5 8.881784197001252e-16 2.886579864025407e-15 1.3322676295501878e-15 1.5987211554602254e-14 7.24738238519714e-7
40 1.7888114825900223 0.04943526984949173 1.2075488807501957e-5 1.7414252871263957e-5 1.741425380040453e-5 3.9606727733623986e-5 5.266341310905531e-5 7.362726989290636e-5 7.362619165096618e-5 0.00017316912816767172 5.329070518200751e-15 3.552713678800501e-15 3.9968028886505635e-15 2.7533531010703882e-14 -1.0519600051212036e-6
50 2.2145869468373154 0.03692732839427063 6.184425396966366e-6 5.01668126513497e-6 5.016681274231554e-6 8.109529685204316e-6 3.50276990024323e-5 2.7756935602862853e-5 2.7756938762113492e-5 3.0071105530105058e-5 6.439293542825908e-15 9.769962616701378e-15 9.547918011776346e-15 3.730349362740526e-14 8.707486318196271e-7
60 2.6599616008507354 0.05190806966211311 6.8512155958501675e-6 5.726442653616079e-6 5.726442658923756e-6 9.417325335208399e-6 4.269546253143908e-5 3.238462902777073e-5 3.238462863541791e-5 3.252008550358454e-5 1.1102230246251565e-14 9.547918011776346e-15 1.2656542480726785e-14 4.440892098500626e-14 -2.476180462912078e-7
70 3.1116148238710135 0.041353805541104564 1.1250053932455677e-5 1.420655727931884e-5 1.4206556687755522e-5 2.9967036021203662e-5 5.3748440990819546e-5 7.44489742379173e-5 7.444891214580807e-5 0.00016222339660743046 1.8207657603852567e-14 1.9095836023552692e-14 2.1316282072803006e-14 4.3520742565306136e-14 1.405693813721276e-7
80 3.5416340381919458 0.041023123499953094 8.147112086777526e-6 6.675637854367465e-6 6.675637856681818e-6 9.416435562840516e-6 4.5146898835835e-5 3.738138907305455e-5 3.738136573350204e-5 4.080957153451692e-5 1.84297022087776e-14 1.865174681370263e-14 2.1316282072803006e-14 5.417888360170764e-14 -1.2981586005542258e-7
90 3.9996232256378783 0.04646732250652013 2.0804424712245698e-5 3.009580868311205e-5 3.009580829502413e-5 6.835941973082169e-5 7.990532190094157e-5 0.00011901322481122634 0.00011901322396967728 0.0002734090645972742 2.3092638912203256e-14 1.9317880628477724e-14 2.1316282072803006e-14 7.460698725481052e-14 -2.19323449267457e-7
